Line #,Name,Description,Designator,Quantity,Revision State,Supplier Order Qty 1,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,,,,,,,,,,,,,
,2SK880GRTE85LF,JFET N-CH 50V SC70,Q7,1,New From Design,5,Toshiba,2SK880GRTE85LF,Not Recommended for New Design,Digikey,2SK880GRTE85LFCT-ND,0.73,3.65
,04FMN-SMT-A-TF(LF)(SN),"Ffc / Fpc Board Connector, Fmn Series, Surface Mount, Receptacle, 4, 1 Mm Rohs Compliant: Yes",J4,1,New From Design,5,JST,04FMN-SMT-A-TF,Unknown,Digikey,455-1919-1-ND,0.4,2
,5.0SMDJ43CA,TVS DIODE 43VWM 69.4VC DO214AB,TVS1,1,New From Design,5,Littelfuse,5.0SMDJ43CA,Volume Production,Digikey,F10854CT-ND,1.84,9.2
,ABS05-32.768KHZ-9-T,CRYSTAL 32.7680KHZ 9PF SMD,Y1,1,New From Design,5,Abracon,ABS05-32.768KHZ-9-T,Volume Production,Digikey,535-ABS05-32.768KHZ-9-TCT-ND,0.81,4.05
,C-0.1uf-X7R-100V-10%-0603,Capacitor Ceramic 0.1uF 100V X7R 10% SMD 0603,C3,1,New From Design,5,Yageo,CC0603KRX7R0BB104,Volume Production,Digikey,311-1523-1-ND,0.14,0.7
,C-2.2uf-X7R-100V-10%-1206,Capacitor Ceramic 2.2uF 100V X7R 10% SMD 1206,C2,1,New From Design,5,Samsung,CL31B225KCHSNNE,Volume Production,Digikey,1276-3138-1-ND,0.44,2.2
,C-10uf-X5R-16V-10%-0603,Capacitor Ceramic 10uF 16V X5R 10% SMD 0603,C1,1,New From Design,5,Murata,GRT188R61C106KE13D,Volume Production,Digikey,490-12317-1-ND,0.32,1.6
,ESD2CAN24DCKRQ1,TVS DIODE 24VWM 37VC CAN SC703,TVS4,1,New From Design,5,Texas Instruments,ESD2CAN24DCKRQ1,Unknown,Digikey,296-ESD2CAN24DCKRQ1CT-ND,0.24,1.2
,HSMF-C115,LED RGB DIFFUSED CHIP SMD R/A,LED2,1,New From Design,5,Broadcom Avago,HSMF-C115,Volume Production,Digikey,516-2828-1-ND,2.09,10.45
,KMR631NG ULC LFS,SWITCH TACTILE SPST-NO 50MA 32V,SW1,1,New From Design,5,ITT C&K,KMR631NGULCLFS,Volume Production,Digikey,CKN10685CT-ND,0.61,3.05
